iter	Passed	Remaining
417	2612	9889
418	2618	9880
419	2624	9872
420	2630	9864
421	2635	9856
422	2641	9848
423	2647	9841
424	2653	9833
425	2659	9825
426	2665	9817
427	2671	9811
428	2677	9803
429	2683	9796
430	2688	9787
431	2694	9780
432	2700	9772
433	2706	9765
434	2712	9759
435	2718	9751
436	2724	9743
437	2729	9735
438	2735	9727
439	2741	9719
440	2747	9713
441	2753	9705
442	2759	9697
443	2764	9688
444	2770	9680
445	2776	9673
446	2782	9666
447	2788	9658
448	2793	9650
449	2799	9642
450	2805	9636
451	2811	9629
452	2817	9621
453	2823	9614
454	2829	9607
455	2835	9599
456	2841	9594
457	2847	9587
458	2853	9579
459	2859	9572
460	2865	9564
461	2871	9557
462	2876	9550
463	2882	9542
464	2888	9536
465	2894	9528
466	2900	9520
467	2906	9514
468	2912	9506
469	2917	9498
470	2923	9491
471	2929	9484
472	2935	9475
473	2941	9468
474	2946	9461
475	2953	9454
476	2959	9448
477	2965	9441
478	2971	9434
479	2977	9427
480	2983	9420
481	2989	9414
482	2994	9406
483	3000	9398
484	3006	9391
485	3012	9384
486	3018	9376
487	3024	9370
488	3030	9362
489	3035	9355
490	3042	9349
491	3047	9341
492	3053	9334
493	3059	9327
494	3065	9318
495	3071	9313
496	3077	9306
497	3083	9298
498	3089	9292
499	3094	9284
500	3100	9276
501	3106	9269
502	3112	9261
503	3117	9254
504	3123	9248
505	3129	9241
506	3133	9226
507	3138	9218
508	3144	9210
509	3149	9202
510	3155	9195
511	3161	9189
512	3167	9181
513	3173	9175
514	3179	9167
515	3185	9160
516	3191	9153
517	3197	9146
518	3203	9140
519	3209	9133
520	3215	9127
521	3221	9120
522	3227	9113
523	3233	9107
524	3239	9100
525	3244	9093
526	3251	9087
527	3257	9080
528	3262	9072
529	3268	9066
530	3274	9058
531	3279	9050
532	3286	9044
533	3292	9037
534	3298	9031
535	3304	9024
536	3309	9017
537	3315	9010
538	3321	9002
539	3326	8995
540	3333	8988
541	3339	8982
542	3344	8974
543	3350	8967
544	3356	8960
545	3361	8952
546	3367	8945
547	3373	8938
548	3379	8931
549	3385	8926
550	3391	8919
551	3397	8912
552	3403	8905
553	3409	8899
554	3415	8892
555	3421	8885
556	3427	8878
557	3433	8872
558	3439	8865
559	3444	8858
560	3450	8851
561	3456	8844
562	3462	8838
563	3468	8832
564	3474	8824
565	3480	8817
566	3486	8812
567	3492	8805
568	3498	8798
569	3504	8791
570	3510	8784
571	3516	8779
572	3522	8772
573	3528	8766
574	3534	8759
575	3540	8752
576	3546	8745
577	3552	8739
578	3557	8731
579	3563	8725
580	3569	8718
581	3575	8710
582	3581	8705
583	3587	8698
584	3593	8691
585	3599	8684
586	3604	8677
587	3610	8671
588	3616	8663
589	3622	8656
590	3628	8649
591	3633	8642
592	3639	8635
593	3645	8628
594	3651	8622
595	3656	8614
596	3662	8607
597	3668	8600
598	3674	8593
599	3680	8586
600	3685	8579
601	3691	8572
602	3697	8567
603	3703	8560
604	3709	8553
605	3715	8546
606	3721	8539
607	3726	8532
608	3732	8525
609	3738	8518
610	3744	8512
611	3750	8505
612	3755	8497
613	3761	8491
614	3767	8484
615	3773	8477
616	3778	8470
617	3784	8463
618	3790	8456
619	3796	8450
620	3802	8443
621	3808	8437
622	3814	8430
623	3819	8422
624	3825	8415
625	3831	8408
626	3836	8401
627	3842	8395
628	3848	8388
629	3854	8382
630	3860	8375
631	3866	8368
632	3872	8362
633	3877	8355
634	3883	8349
635	3890	8343
636	3896	8337
637	3902	8331
638	3908	8324
639	3914	8317
640	3919	8310
641	3925	8303
642	3931	8297
643	3937	8291
644	3943	8284
645	3950	8280
646	3957	8275
647	3963	8269
648	3969	8263
649	3975	8256
650	3980	8249
651	3986	8242
652	3992	8236
653	3998	8229
654	4004	8222
655	4010	8216
656	4015	8209
657	4021	8202
658	4027	8195
659	4033	8188
660	4038	8181
661	4044	8175
662	4050	8167
663	4056	8161
664	4061	8153
665	4066	8146
666	4072	8139
667	4078	8132
668	4084	8125
669	4090	8120
670	4096	8113
671	4102	8107
672	4108	8100
673	4114	8093
674	4119	8087
675	4125	8080
676	4131	8073
677	4137	8067
678	4142	8060
679	4148	8052
680	4154	8046
681	4160	8039
682	4165	8032
683	4171	8025
684	4176	8018
685	4182	8011
686	4188	8004
687	4194	7998
688	4199	7991
689	4206	7985
690	4212	7979
691	4217	7972
692	4223	7965
693	4229	7958
694	4235	7952
695	4240	7945
696	4246	7938
697	4251	7930
698	4257	7924
699	4262	7916
700	4268	7910
701	4274	7903
702	4280	7896
703	4286	7890
704	4291	7883
705	4297	7876
706	4303	7869
707	4308	7862
708	4314	7856
709	4320	7849
710	4325	7842
711	4331	7835
712	4337	7828
713	4342	7822
714	4348	7815
715	4353	7807
716	4359	7800
717	4365	7793
718	4370	7787
719	4376	7780
720	4381	7773
721	4387	7766
722	4393	7760
723	4399	7753
724	4405	7746
725	4410	7739
726	4416	7734
727	4422	7727
728	4428	7720
729	4434	7714
730	4440	7707
731	4445	7700
732	4451	7693
733	4456	7686
734	4462	7679
735	4467	7673
736	4473	7666
737	4479	7659
738	4484	7652
739	4490	7645
740	4496	7639
741	4501	7632
742	4507	7626
743	4513	7619
744	4519	7613
745	4525	7607
746	4531	7601
747	4537	7594
748	4542	7587
749	4548	7580
750	4554	7574
751	4559	7566
752	4565	7560
753	4571	7554
754	4576	7547
755	4582	7540
756	4588	7533
757	4593	7527
758	4599	7521
759	4605	7514
760	4611	7508
761	4618	7503
762	4624	7496
763	4630	7490
764	4635	7483
765	4640	7476
766	4646	7469
767	4652	7463
768	4657	7456
769	4663	7450
770	4670	7444
771	4675	7437
772	4681	7431
773	4687	7424
774	4693	7418
775	4698	7411
776	4704	7404
777	4710	7398
778	4716	7392
779	4720	7383
780	4725	7376
781	4731	7370
782	4737	7363
783	4743	7356
784	4748	7350
785	4754	7343
786	4760	7337
787	4766	7330
788	4771	7324
789	4777	7317
790	4783	7311
791	4789	7305
792	4794	7296
793	4799	7289
794	4805	7283
795	4811	7277
796	4817	7270
797	4822	7264
798	4828	7257
799	4833	7250
800	4839	7243
801	4844	7237
802	4850	7230
803	4856	7224
804	4862	7217
805	4867	7211
806	4873	7204
807	4879	7198
808	4885	7192
809	4891	7186
810	4897	7179
811	4902	7173
812	4908	7167
813	4914	7160
814	4920	7154
815	4926	7147
816	4931	7141
817	4937	7133
818	4942	7127
819	4948	7120
820	4953	7113
821	4959	7107
822	4965	7101
823	4971	7094
824	4976	7088
825	4982	7081
826	4987	7074
827	4994	7069
828	4999	7062
829	5005	7056
830	5012	7051
831	5018	7044
832	5024	7038
833	5029	7032
834	5035	7025
835	5040	7018
836	5046	7012
837	5051	7004
838	5057	6998
839	5063	6991
840	5068	6985
841	5074	6978
842	5080	6972
843	5085	6965
844	5091	6959
845	5097	6953
846	5103	6947
847	5109	6941
848	5115	6934
849	5121	6928
850	5127	6922
851	5133	6916
852	5138	6910
853	5144	6903
854	5149	6896
855	5156	6890
856	5161	6884
857	5167	6877
858	5173	6871
859	5179	6865
860	5184	6858
861	5190	6852
862	5195	6845
863	5201	6838
864	5206	6831
865	5212	6825
866	5218	6819
867	5224	6813
868	5230	6807
869	5236	6801
870	5242	6794
871	5247	6788
872	5253	6781
873	5259	6775
874	5264	6768
875	5270	6762
876	5276	6756
877	5281	6749
878	5287	6743
879	5293	6736
880	5298	6730
881	5304	6724
882	5310	6717
883	5315	6710
884	5322	6705
885	5327	6698
886	5333	6692
887	5338	6685
888	5344	6678
889	5349	6672
890	5355	6666
891	5361	6659
892	5366	6652
893	5372	6646
894	5377	6639
895	5383	6633
896	5389	6627
897	5395	6620
898	5400	6614
899	5406	6607
900	5411	6601
901	5417	6595
902	5423	6588
903	5428	6581
904	5434	6575
905	5440	6569
906	5445	6562
907	5451	6556
908	5457	6549
909	5462	6543
910	5469	6537
911	5474	6531
912	5480	6524
913	5486	6519
914	5492	6512
915	5498	6507
916	5505	6501
917	5510	6495
918	5516	6489
919	5522	6483
920	5528	6476
921	5534	6470
922	5540	6464
923	5545	6458
924	5551	6451
925	5557	6445
926	5563	6439
927	5568	6433
928	5574	6426
929	5580	6420
930	5586	6414
931	5591	6407
932	5597	6401
933	5603	6395
934	5608	6388
935	5614	6382
936	5620	6375
937	5625	6369
938	5631	6363
939	5637	6357
940	5643	6350
941	5649	6344
942	5654	6338
943	5660	6332
944	5666	6325
945	5672	6319
946	5677	6313
947	5683	6307
948	5689	6300
949	5694	6294
950	5700	6288
951	5706	6281
952	5712	6275
953	5718	6269
954	5723	6262
955	5729	6256
956	5735	6250
957	5740	6244
958	5746	6237
959	5752	6231
960	5757	6225
961	5763	6219
962	5769	6212
963	5774	6206
964	5780	6200
965	5786	6193
966	5792	6187
967	5797	6181
968	5803	6174
969	5809	6168
970	5815	6162
971	5820	6156
972	5826	6149
973	5833	6144
974	5838	6138
975	5844	6131
976	5850	6125
977	5855	6119
978	5861	6112
979	5867	6106
980	5873	6100
981	5878	6094
982	5884	6088
983	5890	6082
984	5896	6076
985	5902	6070
986	5908	6064
987	5914	6058
988	5919	6051
989	5925	6045
990	5931	6039
991	5936	6032
992	5942	6026
993	5948	6019
994	5953	6013
995	5959	6006
996	5964	6000
997	5969	5993
998	5975	5987
999	5981	5981
1000	5987	5975
1001	5992	5968
1002	5998	5962
1003	6003	5956
1004	6009	5950
1005	6015	5943
1006	6021	5937
1007	6027	5932
1008	6033	5925
1009	6039	5919
1010	6045	5913
1011	6050	5907
1012	6056	5900
1013	6061	5894
1014	6067	5888
1015	6072	5881
1016	6078	5875
1017	6084	5869
1018	6089	5862
1019	6095	5856
1020	6100	5849
1021	6106	5843
1022	6112	5837
1023	6117	5830
1024	6123	5824
1025	6129	5818
1026	6134	5812
1027	6140	5806
1028	6146	5799
1029	6152	5793
1030	6157	5787
1031	6163	5781
1032	6168	5774
1033	6174	5768
1034	6180	5762
1035	6186	5756
1036	6191	5749
1037	6197	5743
1038	6202	5737
1039	6208	5731
1040	6214	5724
1041	6219	5718
1042	6225	5712
1043	6231	5706
1044	6237	5700
1045	6243	5693
1046	6248	5687
1047	6254	5681
1048	6259	5675
1049	6265	5669
1050	6271	5662
1051	6277	5656
1052	6283	5650
1053	6288	5644
1054	6294	5638
1055	6299	5631
1056	6305	5625
1057	6310	5618
1058	6316	5612
1059	6321	5606
1060	6327	5599
1061	6332	5593
1062	6338	5587
1063	6344	5580
1064	6349	5574
1065	6355	5568
1066	6361	5562
1067	6366	5556
1068	6373	5550
1069	6378	5544
1070	6385	5538
1071	6390	5532
1072	6396	5525
1073	6401	5519
1074	6407	5513
1075	6413	5507
1076	6419	5501
1077	6424	5494
1078	6430	5488
1079	6436	5483
1080	6442	5476
1081	6447	5470
1082	6453	5464
1083	6459	5458
1084	6464	5451
1085	6470	5445
1086	6475	5439
1087	6480	5432
1088	6486	5426
1089	6491	5419
1090	6496	5413
1091	6502	5407
1092	6508	5401
1093	6514	5395
1094	6520	5388
1095	6525	5382
1096	6530	5375
1097	6536	5369
1098	6542	5363
1099	6548	5357
1100	6554	5352
1101	6560	5345
1102	6566	5339
1103	6572	5333
1104	6577	5327
1105	6583	5321
1106	6588	5315
1107	6594	5308
1108	6599	5302
1109	6605	5296
1110	6611	5290
1111	6616	5284
1112	6622	5277
1113	6627	5271
1114	6633	5265
1115	6639	5259
1116	6644	5252
1117	6650	5246
1118	6656	5240
1119	6662	5234
1120	6668	5228
1121	6673	5222
1122	6679	5215
1123	6684	5209
1124	6690	5203
1125	6695	5197
1126	6701	5190
1127	6706	5184
